"Title: Health Insurance Coverage of the Total Population, Multiple Sources of Coverage | KFF"
"Timeframe: 2009"
"Location","Employer Only","Non-group Only","Medicaid and Private Insurance","Medicaid and Medicare","Medicaid Only","Medicare and Private Insurance","Medicare Only","Military","Uninsured","Total",Footnotes
"United States","151123100","16202300","4674000","8838900","34540400","22274300","10763200","4267200","45314300","297997800","1"
"Alabama","2230800","226000","79300","177900","551000","378600","197700","93300","634500","4569100"
"Alaska","328500","26100","15100","16100","65800","26500","15700","38000","137300","668900"
"Arizona","2853100","361600","102300","170100","986800","481200","271200","104500","1127100","6457900"
"Arkansas","1192100","135900","52200","112400","408100","230100","144900","53100","467400","2796100"
"California","17048400","2553600","497200","1135100","4790700","1973800","1199700","348800","6547500","36094800"
"Colorado","2573100","403900","56500","100500","414300","309400","144400","118000","771000","4891000"
"Connecticut","2044700","169200","38600","80700","350400","283000","114700","18700","303200","3403200"
"Delaware","470000","24900","16100","26000","108500","81100","27800","12200","89000","855500"
"District of Columbia","289900","35700","15100","23800","115900","29300","14000","3500","40500","567800"
"Florida","7549900","1097800","200300","621700","1806100","1691500","1010700","318600","3770800","18067300"
"Georgia","4671100","486600","122100","250800","1071400","544500","328900","197000","1812300","9484800"
"Hawaii","691600","65200","28100","31100","117200","113800","34900","58700","82900","1223500"
"Idaho","716500","129100","28600","33200","143300","120500","49500","31600","255500","1507700"
"Illinois","6734400","620500","185100","320600","1623000","893700","417100","86300","1677700","12558400"
"Indiana","3400400","281500","94300","147300","646900","514200","211900","51300","874100","6221900"
"Iowa","1650300","205800","64800","91100","250300","284100","78600","23300","254200","2902600"
"Kansas","1501200","172300","32100","66300","219100","229200","82800","66400","346700","2716000"
"Kentucky","2025500","190800","61700","156000","547900","336200","176700","73700","604900","4173500"
"Louisiana","1989400","220200","68700","151300","637600","267600","192600","71800","753200","4352400"
"Maine","603400","59700","33600","72100","187200","110300","50100","26700","130900","1273900"
"Maryland","3282600","281600","67200","134600","492000","412300","137400","103700","614400","5525700"
"Massachusetts","3848400","303200","164200","230300","836200","486200","185000","29600","275100","6358100"
"Michigan","5061200","448300","204300","294400","1263600","924900","258900","63400","1205200","9724300"
"Minnesota","3029900","348400","87800","125100","470600","445700","126100","33400","461900","5128900"
"Mississippi","1196200","134400","55500","130100","446300","187400","131000","56200","499300","2836300"
"Missouri","3059800","318000","71800","175100","598400","502500","221400","82300","776500","5805900"
"Montana","426100","75700","9600","21300","81000","87500","41200","21000","179300","942700"
"Nebraska","946500","142000","21400","45300","145900","145800","52900","31500","200000","1731300"
"Nevada","1346400","122700","32900","53200","161300","155200","107200","47200","570200","2596300"
"New Hampshire","787200","55500","16800","36400","88800","109900","40300","12900","135100","1282900"
"New Jersey","5058000","375000","99800","229400","705000","630900","311300","38600","1071000","8519200"
"New Mexico","771300","87900","35000","65200","332500","141000","84300","43900","397500","1958500"
"New York","10027900","862100","370800","659000","2745900","1356800","683700","92900","2191400","18990400"
"North Carolina","4266000","538900","121100","257200","1077200","706200","357000","248700","1454300","9026700"
"North Dakota","354900","54000","6400","16700","32700","61600","15500","12700","60900","615400"
"Ohio","6113600","458300","181700","296400","1282700","971400","422700","104500","1375800","11207100"
"Oklahoma","1600700","177900","52200","113100","417700","289700","141000","90100","661500","3544100"
"Oregon","1854800","254600","55200","99400","332200","325000","128500","42600","651300","3743600"
"Pennsylvania","6708500","611700","272400","368200","1289600","1206500","431800","72300","1192500","12153500"
"Rhode Island","552400","50400","21000","33800","105700","84200","39300","10900","114200","1011800"
"South Carolina","2049300","221800","65400","163100","515400","357000","183000","101300","737400","4393700"
"South Dakota","378300","65500","13900","22900","75200","69300","28300","20800","107100","781400"
"Tennessee","2936900","335500","108400","231400","785200","470600","266200","105500","876800","6116600"
"Texas","11006900","1090900","300800","609000","2837000","1252800","816600","417500","5765400","24096900"
"Utah","1635100","184300","46900","46500","181500","145700","67900","32100","393400","2733400"
"Vermont","308900","28200","18000","25100","91500","49000","22600","3900","52400","599600"
"Virginia","4269600","389200","85700","177900","516900","602700","233300","341800","895700","7512800"
"Washington","3372300","387000","133500","170000","722100","496700","184300","137700","882900","6486600"
"West Virginia","840500","49900","43000","68300","218400","184600","92200","20800","251200","1768900"
"Wisconsin","3195500","243600","110800","142600","609800","474900","171800","41300","502200","5492700"
"Wyoming","272900","39400","9100","13600","40600","41600","17100","10500","81500","526300"
"Puerto Rico","1190000","286100","70400","272600","1342700","141100","279100","18300","322100","3922300"

"Notes"
"The American Community Survey did not release the 1-year estimates for 2020 due to significant disruptions to the data collection because of the coronavirus pandemic. "
""
"The majority of our health coverage topics are based on analysis of the Census Bureau’s American Community Survey (ACS) by KFF. ACS includes a 1% sample of the US population and allows for precise state-level estimates. "
""
"The ACS asks respondents about their health insurance coverage at the time of the survey. Respondents may report having more than one type of coverage; however, individuals are sorted into only one category of insurance coverage. See definitions for more detail on coverage type."
""
"Data may not sum to totals due to rounding."
""
"Data include the civilian noninstitutionalized population in the United States."

"Sources"
"KFF estimates based on the 2008-2023 American Community Survey, 1-Year Estimates."

"Definitions"
"*Employer Only*: Includes those covered by employer-sponsored coverage either through their own job or as a dependent in the same household."
""
"*Non-Group Only*: Includes individuals and families who purchased or are covered as a dependent by non-group insurance."
""
"*Medicaid and Private Insurance*: Includes those covered by Medicaid and private insurance through an employer or non-group insurance."
""
"*Medicaid and Medicare*: Includes those covered by both Medicaid and Medicare, also known as dual eligibles."
""
"*Medicaid Only*: Includes those covered by Medicaid, Medical Assistance, Children's Health Insurance Plan (CHIP) or any kind of government-assistance plan for those with low incomes or a disability."
""
"*Medicare and Private Insurance*: Includes those covered by Medicare and private insurance through an employer or non-group insurance."
""
"*Medicare Only*:  Includes those covered by Medicare alone. "
""
"*Military*: Includes those covered under the military or Veterans Administration."
""
"*Uninsured*: Includes those without health insurance and those who have coverage under the Indian Health Service only."
""
"*N/A*: Estimates with relative standard errors greater than 30% are not provided."


Footnotes
"1. US total excludes Puerto Rico."
