"Title: Health Insurance Coverage of the Total Population, Multiple Sources of Coverage | KFF"
"Timeframe: 2023"
"Location","Employer Only","Non-group Only","Medicaid and Private Insurance","Medicaid and Medicare","Medicaid Only","Medicare and Private Insurance","Medicare Only","Military","Uninsured","Total",Footnotes
"United States","158391800","20350700","7764800","11821800","49692400","24889700","23025400","4316400","25825500","326078600","1"
"Alabama","2291200","306100","113600","208000","701600","432300","372400","103200","416700","4945200"
"Alaska","306900","37800","24200","22000","114600","52400","27800","41300","73300","700500"
"Arizona","3379200","383200","154000","246600","1082300","574100","619200","100600","713800","7252900"
"Arkansas","1260700","170400","68400","119200","563400","229400","245300","43800","272900","2973600"
"California","17932200","2509800","937800","1626300","7795400","2184800","2405600","311200","2435100","38138100"
"Colorado","2987500","389900","134700","149700","787200","362900","415200","115000","382500","5724600"
"Connecticut","1804200","175400","71600","155800","571200","252400","266800","21800","195500","3514700"
"Delaware","480300","41900","30400","34700","151700","114400","72800","8400","68300","1002900"
"District of Columbia","380300","27900","N/A","28500","120600","33900","18000","5400","17500","646000"
"Florida","8946200","2456600","384000","906100","2617200","1803700","2193700","411000","2357500","22076000"
"Georgia","5083500","785300","236800","373900","1406400","661400","717600","235700","1219600","10720100"
"Hawaii","682800","65200","46000","45100","196000","156900","75300","60500","38400","1366300"
"Idaho","925300","131800","57400","50300","242700","158400","142800","28600","172800","1910000"
"Illinois","6609900","617000","237700","365200","1790600","946500","858100","75000","752700","12252700"
"Indiana","3455700","316600","158800","213600","1016500","515000","482600","54000","450700","6663600"
"Iowa","1640900","151600","100000","106000","429800","275700","221500","24100","156600","3106200"
"Kansas","1516500","181300","61600","72800","273900","247800","191800","52400","237700","2835800"
"Kentucky","2025400","155500","119800","178800","927900","358300","325300","55000","247600","4393500"
"Louisiana","1811800","199300","137800","215600","1074700","316000","314000","52900","308500","4430700"
"Maine","628700","83800","33600","74100","182700","127400","127300","16000","82100","1355600"
"Maryland","3241400","340300","122900","192500","821900","530300","288400","96000","380900","6014600"
"Massachusetts","3701000","360000","199700","321900","1074400","562200","351200","27600","177500","6775600"
"Michigan","4892300","481400","311800","393200","1646900","1021600","590100","51200","433300","9821800"
"Minnesota","3169800","286800","148600","133600","745200","552000","316200","37600","225100","5614900"
"Mississippi","1211200","185300","56200","141600","466700","207700","216200","52400","296200","2833500"
"Missouri","3085200","320000","111500","172700","777900","471500","545600","81700","449700","6016000"
"Montana","462800","86000","28600","31400","179200","110200","90100","23600","93600","1105600"
"Nebraska","1020000","144100","50900","51700","221700","154800","130700","28800","121800","1924500"
"Nevada","1467000","173900","103700","92800","451200","206800","257700","51200","335100","3139600"
"New Hampshire","754000","93400","24000","31200","127500","146300","111400","11500","62300","1361400"
"New Jersey","4929500","515700","158700","278200","1269000","693700","596200","30400","652700","9124100"
"New Mexico","714200","86200","82000","104700","520000","174900","161000","34500","184800","2062400"
"New York","8944900","1042300","617100","1058800","3802300","1449800","1143700","68300","921200","19048400"
"North Carolina","4873900","754200","229100","368300","1404600","843300","793700","251200","965200","10483400"
"North Dakota","428600","56700","13700","18800","62700","72000","41100","19600","31300","744500"
"Ohio","5846900","502300","257000","377700","1818100","949000","921300","94700","697600","11464600"
"Oklahoma","1693800","214300","94900","116600","678500","309000","287500","78100","445100","3917700"
"Oregon","2001400","230100","129600","169000","688600","354900","322400","34400","226000","4156400"
"Pennsylvania","6296400","661200","366600","478100","1839600","1203900","924600","79800","677600","12527800"
"Rhode Island","534400","59900","31500","51500","154800","86700","77800","8800","47000","1052400"
"South Carolina","2308600","368600","131900","194900","709800","493100","402500","126700","469000","5205000"
"South Dakota","456700","68200","18600","27300","84500","76200","61800","19300","76400","889100"
"Tennessee","3271000","464600","165400","239000","978800","531400","543400","114200","644100","6951900"
"Texas","14112100","2104200","500100","779800","3532500","1530800","1860600","505900","4869500","29795500"
"Utah","2027200","307500","65000","63100","252700","172900","177100","32900","259100","3357600"
"Vermont","304000","37400","12500","27300","100700","68700","49100","2600","21200","623400"
"Virginia","4351600","436300","183400","197100","1047600","754500","532600","333000","536900","8373000"
"Washington","3991200","377700","209200","228300","1109700","602400","499900","127600","481600","7627500"
"West Virginia","759200","48600","49400","82400","317700","184800","149100","20500","101800","1713600"
"Wisconsin","3120900","312400","154700","192400","706000","514500","444800","46900","282900","5775600"
"Wyoming","271600","44400","14400","13200","55200","56200","44400","9300","59400","568000"
"Puerto Rico","737100","275900","36600","375100","1083400","137800","348500","15600","166900","3176900"
