"Title: Health Insurance Coverage of the Total Population, Multiple Sources of Coverage | KFF"
"Timeframe: 2013"
"Location","Employer Only","Non-group Only","Medicaid and Private Insurance","Medicaid and Medicare","Medicaid Only","Medicare and Private Insurance","Medicare Only","Military","Uninsured","Total",Footnotes
"United States","148821500","16327100","4767400","9575200","40387500","23357600","14582200","4841200","44845800","307505500","1"
"Alabama","2143300","263600","85500","188000","620200","409600","258100","94600","642900","4705800"
"Alaska","365800","24800","11400","12400","73700","34900","16800","34400","130900","705100"
"Arizona","2768300","357000","104200","175000","928700","506300","395400","107500","1123300","6465700"
"Arkansas","1182300","136500","45300","122100","444700","230200","185200","58900","463400","2868600"
"California","17000500","2405300","521800","1262800","5780200","2064700","1628800","406900","6440200","37511300"
"Colorado","2568800","400600","77200","109500","541800","347200","222300","148000","714900","5130200"
"Connecticut","1898300","172900","51600","106000","447300","269900","173000","34300","325700","3479000"
"Delaware","455100","28200","16300","29800","136200","93400","37900","11000","90500","898500"
"District of Columbia","316400","33600","18700","26500","122200","31100","16700","6400","38700","610300"
"Florida","7300300","1160300","209700","719600","2374700","1668900","1426600","391200","3841800","19093200"
"Georgia","4477200","465500","130500","284000","1234500","599700","433700","240100","1825700","9690900"
"Hawaii","707100","57600","24200","36900","155200","126500","51800","78500","93800","1331500"
"Idaho","734100","121700","32700","41200","167900","129900","68700","29500","255300","1580900"
"Illinois","6525500","629500","167300","303100","1777900","939200","539300","90800","1598500","12571100"
"Indiana","3306200","283400","81700","167800","738400","525200","308900","55200","899600","6366500"
"Iowa","1609300","190300","64800","90800","338800","292600","119700","21800","262300","2990300"
"Kansas","1464800","182000","43800","71400","257500","240000","115900","75000","346200","2796500"
"Kentucky","2029600","174900","62700","153800","562600","359900","225900","74100","617200","4260900"
"Louisiana","1977300","214100","81300","177000","708100","276800","226300","68100","754200","4483200"
"Maine","586900","52300","33000","68100","190000","128200","63500","26000","143700","1291900"
"Maryland","3243600","294200","88900","142200","648000","451700","190900","119400","588600","5767500"
"Massachusetts","3722100","319700","148100","262300","995900","490100","237500","30500","245200","6451500"
"Michigan","4833000","474300","203200","332000","1352700","999900","326400","70700","1072100","9664300"
"Minnesota","3014100","377900","75800","122700","564000","474200","178900","40300","440000","5287800"
"Mississippi","1163100","124400","53700","139900","495600","196000","161700","63100","491700","2889200"
"Missouri","2943900","332600","72100","163700","631100","517500","316600","109000","766600","5853100"
"Montana","430200","71100","17200","23500","108100","91100","57500","22600","164900","986300"
"Nebraska","980400","139900","29100","46300","160400","142600","80500","36800","195100","1811200"
"Nevada","1349400","109500","33000","72500","234900","163800","159600","58400","564300","2745400"
"New Hampshire","738700","62100","12900","26200","105400","125400","58400","11900","139800","1280700"
"New Jersey","4857400","369200","105500","230000","882900","651800","405800","46200","1168000","8716900"
"New Mexico","744200","84700","39000","82500","383000","141900","122600","49500","392700","2040200"
"New York","9567700","807600","397100","755400","3229500","1352400","830200","104500","2075300","19119600"
"North Carolina","4198000","588900","124000","297000","1291600","786200","484100","261100","1491700","9522500"
"North Dakota","389800","62300","14500","15800","38200","62100","22100","16700","71800","693500"
"Ohio","5912800","481600","182900","292900","1461000","962400","596500","110300","1239300","11239600"
"Oklahoma","1658700","179500","58200","97700","490900","295900","201800","82200","662000","3726900"
"Oregon","1816200","234400","60100","119800","470800","342500","192400","43400","572000","3851600"
"Pennsylvania","6603000","632100","248300","393500","1400000","1229000","558800","84800","1195000","12344300"
"Rhode Island","526800","46300","22100","39100","111500","81500","51200","9400","120800","1008600"
"South Carolina","2063500","196600","64200","156900","632500","400400","259000","113900","729300","4616200"
"South Dakota","387400","75900","16600","21400","82100","70600","38900","17300","101300","811600"
"Tennessee","2882100","343300","108300","224700","892400","512500","342100","129900","883400","6318700"
"Texas","11567300","1165200","310500","679500","3445100","1370000","1075300","480100","5680000","25773000"
"Utah","1653900","201800","47700","45300","224300","154500","100300","40000","381700","2849400"
"Vermont","288800","24800","14300","25600","112800","59200","28600","6300","42400","602700"
"Virginia","4267700","423600","80500","171100","631500","678300","329200","379900","984000","7945700"
"Washington","3404300","399200","121300","184800","741400","540000","282800","165200","958700","6797800"
"West Virginia","828400","43200","29100","69300","253200","206400","103100","22600","242800","1798200"
"Wisconsin","3049900","276400","116700","184800","673500","486400","253600","47300","504000","5592500"
"Wyoming","318100","30500","8900","10900","42700","47000","21300","15400","72600","567300"
"Puerto Rico","891200","303000","48800","308500","1361200","139200","280200","16400","233400","3582000"

