Location,Employer Only,Non-group Only,Medicaid and Private Insurance,Medicaid and Medicare,Medicaid Only,Medicare and Private Insurance,Medicare Only,Military,Uninsured,Total,Footnotes,Year
Alabama,2346200,245000.0,49900.0,138600,457700,377500,200800,78700.0,632500,4526900,,2008
Alaska,339000,23600.0,9800.0,12900,52000,24300,14200,43000.0,136000,654700,,2008
Arizona,2955200,390000.0,59900.0,114000,800400,485200,267200,99300.0,1191900,6363000,,2008
Arkansas,1210500,150800.0,32800.0,97000,365900,231900,141000,44200.0,495500,2769700,,2008
California,17884900,2630300.0,287200.0,832200,4348700,1939100,1208800,356300.0,6394600,35882000,,2008
Colorado,2643300,394500.0,31400.0,75100,312000,302100,131400,107300.0,819700,4816700,,2008
Connecticut,2126000,163000.0,38000.0,72400,284200,276600,103200,19000.0,301400,3383800,,2008
Delaware,483400,34800.0,10100.0,19100,87800,76200,27200,14800.0,90800,844200,,2008
District of Columbia,303800,34500.0,11600.0,17100,101400,29000,12100,4500.0,45000,558900,,2008
Florida,8039600,1147900.0,106000.0,453400,1400800,1669800,996400,316600.0,3743900,17874300,,2008
Georgia,4779600,522400.0,79300.0,196400,969600,524700,321600,201100.0,1781700,9376400,,2008
Hawaii,752300,59400.0,14100.0,32000,87200,112900,29100,59500.0,82600,1229000,,2008
Idaho,752500,129200.0,13800.0,22400,117200,122800,39200,25600.0,261500,1484300,,2008
Illinois,7162500,649300.0,134300.0,265900,1368100,876800,396100,86000.0,1616900,12556000,,2008
Indiana,3536300,300000.0,59300.0,131700,531700,509200,198600,52100.0,854200,6172900,,2008
Iowa,1709700,205400.0,42500.0,73400,229300,276200,82000,23100.0,252500,2894000,,2008
Kansas,1583200,169600.0,21600.0,56400,172600,231400,77300,47600.0,341600,2701400,,2008
Kentucky,2135400,206300.0,38500.0,131000,476200,341100,166500,66300.0,582200,4143600,,2008
Louisiana,1968000,253700.0,54100.0,127400,589700,273400,176300,65100.0,766100,4273800,,2008
Maine,645900,55000.0,25900.0,52500,172600,121700,37600,25500.0,137400,1274100,,2008
Maryland,3401400,277900.0,50300.0,104600,394500,399600,136400,94100.0,611200,5470000,,2008
Massachusetts,3989900,362700.0,102100.0,173200,708700,460400,175500,29900.0,262600,6265100,,2008
Michigan,5502600,468400.0,137900.0,232400,1099500,897900,240300,58400.0,1127100,9764400,,2008
Minnesota,3183200,338700.0,54400.0,97900,396300,416400,124400,33400.0,439700,5084500,,2008
Mississippi,1270300,153600.0,33900.0,109600,385600,191300,122300,51200.0,508900,2826800,,2008
Missouri,3132300,336400.0,51300.0,152500,536100,484800,209000,79700.0,746100,5728200,,2008
Montana,448700,78300.0,7300.0,17800,63600,85800,35700,23500.0,177800,938500,,2008
Nebraska,1009200,138200.0,18300.0,30900,111500,145100,53700,27800.0,186400,1721000,,2008
Nevada,1421100,116700.0,19100.0,40900,112700,145300,103400,41900.0,555800,2556800,,2008
New Hampshire,806000,60500.0,10900.0,27400,75700,101100,38000,15300.0,140500,1275300,,2008
New Jersey,5257200,363100.0,60300.0,165800,634500,624200,301100,32000.0,1056500,8494600,,2008
New Mexico,817700,93200.0,25200.0,47500,286400,128300,82900,36000.0,416900,1934000,,2008
New York,10455100,913800.0,265900.0,508100,2492900,1303200,662500,92600.0,2249800,18944000,,2008
North Carolina,4460100,557500.0,79200.0,222600,908600,680700,331500,208600.0,1437400,8886300,,2008
North Dakota,351200,53900.0,5300.0,11500,34000,54600,19800,19300.0,60700,610300,,2008
Ohio,6489100,485100.0,125800.0,238700,1054400,933400,402600,98000.0,1330400,11157500,,2008
Oklahoma,1659100,172800.0,39600.0,101300,371300,278500,130000,81100.0,675300,3508800,,2008
Oregon,1977000,284100.0,25100.0,77200,261200,306600,126400,41600.0,612600,3711900,,2008
Pennsylvania,6930000,701900.0,165900.0,298000,1110800,1152400,412200,79500.0,1152000,12002700,,2008
Rhode Island,596900,40100.0,18100.0,26300,82700,87900,38300,12600.0,106400,1009400,,2008
South Carolina,2141600,226600.0,44000.0,126100,413900,352900,183200,93100.0,737000,4318400,,2008
South Dakota,404900,71800.0,12500.0,17700,64300,71100,22100,17500.0,88100,769900,,2008
Tennessee,3140500,353400.0,61400.0,172300,667600,444800,265900,105400.0,834000,6045200,,2008
Texas,11268300,1154300.0,175200.0,477400,2437800,1219800,787400,428800.0,5693800,23643000,,2008
Utah,1647900,186000.0,23100.0,35000,150300,149800,62100,28800.0,403900,2686800,,2008
Vermont,325400,26900.0,11500.0,25600,82500,48400,19900,5300.0,53600,599100,,2008
Virginia,4379000,403900.0,53700.0,151600,441100,581700,218000,306400.0,883100,7418400,,2008
Washington,3506600,419400.0,76700.0,123200,564400,502000,186000,150200.0,842000,6370500,,2008
West Virginia,877300,46500.0,21700.0,53800,193200,184900,85200,27600.0,274900,1765200,,2008
Wisconsin,3367100,267600.0,71600.0,122600,482600,457000,164800,42300.0,492000,5467500,,2008
Wyoming,278200,38500.0,8200.0,11300,33900,40600,16500,14000.0,74800,516100,,2008
Puerto Rico,1253800,288600.0,31500.0,193300,1370400,125400,266000,23800.0,349100,3902000,,2008
Alabama,2230800,226000.0,79300.0,177900,551000,378600,197700,93300.0,634500,4569100,,2009
Alaska,328500,26100.0,15100.0,16100,65800,26500,15700,38000.0,137300,668900,,2009
Arizona,2853100,361600.0,102300.0,170100,986800,481200,271200,104500.0,1127100,6457900,,2009
Arkansas,1192100,135900.0,52200.0,112400,408100,230100,144900,53100.0,467400,2796100,,2009
California,17048400,2553600.0,497200.0,1135100,4790700,1973800,1199700,348800.0,6547500,36094800,,2009
Colorado,2573100,403900.0,56500.0,100500,414300,309400,144400,118000.0,771000,4891000,,2009
Connecticut,2044700,169200.0,38600.0,80700,350400,283000,114700,18700.0,303200,3403200,,2009
Delaware,470000,24900.0,16100.0,26000,108500,81100,27800,12200.0,89000,855500,,2009
District of Columbia,289900,35700.0,15100.0,23800,115900,29300,14000,3500.0,40500,567800,,2009
